Name,Version,Type,Reference
Bash ,5.0.17,unix shell,
dada2,1.6.0,R package,
decontam,1.1.2,R package,
dplyr,1.0.9,R package,
FastQC,0.11.7,program,
ggplot2,3.3.5,R package,
ggpubr,0.4.0,R package,
gridExtra,2.3,R package,
matplotlib,3.3.1,Python package,
metadeconfoundR,0.2.8,R package,
optparse,1.6.6,R package,
pandas,1.1.1,Python package,
phyloseq,1.36.0,R package,
Python ,3.8.5,Programming language,
R,4.1.1,Programming language,
RcolorBrewer,1.1.2,R package,
reshape2,1.4.4,R package,
scales,1.1.1,R package,
tidyverse ,1.2.1,R package,
upsetplot,0.6.0,Python package,
vegan,2.5.7,R package,
